nothing,bug,vcl
,panic: leveldb/table: corruption on data-block  checksum mismatch,
,invalid memory address or nil pointer dereference,
,Hide unused/inactive information in folder panel,
,Windows/Linux/Solaris cluster problematic names with directories and duplication,
,Local discovery seems to be broken for me,
,CentOS 7 - restrting from web interface,
,Feature Request: Log collection,
,"Transfer interruption breaks ""oldest first"" pull order",
,[request] File access speed limit,
,Syncing large files requires double the disk space on resume,
,NTFS directory junctions are followed,
,Add hardening options to systemd units,
,"DB refactor for cleaner design, enabling case insensitivity",
,Stuck at 99%,
,Add rest endpoint(s) to dismiss pending folder/device invitations,
,"Can't create any repository, after delete the default one...",
,Add after-'Sync finished' function,
,Option to do not push delete file,
,Why not use Slack or Gitter for team communication?,
,"Official builds of v1.13.0 come with the Tech Ui, which is impossible to switch back from",
,How does syncthing decide which blocks to transfer from other nodes?,
,Update vendored github.com/minio/sha256-simd for AVX512 support,
,not sucesfull restart after update,
,Symbolic links gets deleted on Linux when Windows syncs back,
,Flush to database based on size instead of entries,
,UPnP mapping failing since 0.10.2 release,
,Idea: What is Syncthing? and what isn't it?,
,Syncthing don't start anymore,
,Can't edit local host node name,
,Path to repo needs file picker,
,Crashes in initial scan,
,"Should not be able to delete ""this node"" from the GUI",
,Watching for changes using too many system resources on BSDs (kqueue),
,Upload and Download speeds stuck at 0 B/s,
,TestIssue2571 failure on OpenBSD,
,Language setting not stored independently from the browser history,
,Syncthing 1.5.0+ auto upgrades even with auto upgrades disabled in config,
,cmd/strelaysrv: Add option to open ports using uPNP,
,Option to set unhashed password in config.xml,
,ARM64 binary: sigill on startup,
,GUI doesn't connect with Syncthing Daemon while scanning in v1.2.1,
,selective syncing of subfolders/files on devises (feature request),
,Separate BlockInfo from FileInfo,
,Discovery P2P,
,ignoreDelete on receiver breaks sync on sender.,
,"suggestion: add to the prefs a way to push notifications to the system when a file in a folder you are sharing is modified, added, deleted etc.",
,"Three way sync shows node ""in sync""",
,realy need time and ownerships be sync,
,"v1.20.0-rc.1: panic: interface conversion: interface {} is map[string]string, not map[string]interface {}",
,Feature? Use relays for faster connection if possible,
,Out of sync for opened files with File Versioning enabled,
,"""fatal error: bad g status"" and ""fatal error: runtime: mcall called on m->g0 stack""",
,Upload Limit is being applied to LAN connections,
,Should show indication of local files/directories that can't be scanned for whatever reason,
,Weak hashing is extremely slow on ARMv8 (Android),
,Syncthing crashes on start on OpenBSD,
,WebUI updated even if server has not processed changes,
,Execute permissions on .js files,
,strelaysrv allows connecting to the node itself,
,Versions Path should be created relative to folder path,
,Restarts sometimes logs you out,
,"32-bit builds of v0.13.8 panic (386, arm)",
,Some peers not connecting most times,
,"""accept: function not implemented"" after upgrading to syncthing v1.20.1",
,RPM for Centos 6/7,
,Authenticated STUN,
,Shared With list starts with comma,
,Out of sync when using file system watcher while working with tortoisehg,
,Do you have an XSD describing the config.xml file ?,
,"""Currently Shared With Devices"" list in the folder Sharing tab should be sorted alphabetically",
,Reduce RAM usage for low power devices,
,Sharable syncthing updates [ENHANCEMENT],
,Node ID validation message is confusing / wrong,
,Use session ID:s for authenticated web GUI sessions,
,Need event interface to follow what's going on.,
,Per device queue / Load distribution issue,
,Question: Multi PC configuration,
,Continuous stat'ing of the .stfolder file,
,Permanently notify about initial connection requests,
,Incremental model updates,
,[UX] No clear or easy way to change the path of the folder to sync to,
,"""Failed to lower process priority: set niceness: permission denied"" when already niced",
,"""File Pull Order"" should be disabled (greyed out) for ""Send Only"" folders in the GUI",
,Global changes button,
,"executing ""go run build.go build TARGET"" runs ""go install"" for deps",
,"Error message: ""Too many errors, check logs""",
,“TypeError: Cannot set property ‘connected’ of undefined” error when removing devices,
,Option to allow deletion of ignored files in an empty folder?,
,{%device%} wants to share folder...,
,LTS release or similar,
,New folder banner does not appear,
,"When adding a new folder, using quotation marks around the path puts it in system32",
,Blockmap updates can cause too high memory usage,
,panic and disconnect,
,cleanup ram automatically,
,Staggered scanning,
,Global discovery negative caching not working,
,Short urls for error messages?,
,Theme Names and Error Messages Localization,
,Folder/device status info,
,[ENHANCEMENT] Allow for read-only nodes,
,"Incorrect ignore patterns causing ""parent not a dir"", previously ""resurrecting directory""",
,Cannot install syncthing on Windows 7,
,scan multiple big files stresses disk and slows down process,
,Delete of file not propagating,
,Systemd hardening options prevent service start,
,"""Restart Needed"" without changes in Config, again.",
,REST API: Improve JSON response for /system/connections,
,Recreate missing folder marker and rebuild folder content,
,Reduce unnecessary syncing / database traversal,
,File locations,
,There's no apparent sync progress when a large file is being synced,
,Initial certificate generation takes two startups...?,
,"Tooltips in browser (Out of Sync Items): some show path, some not. Please include FULL path.",
,Refactor: staggered versioner starts background goroutine that never exits,
,"""Global Changes"" button is confusing, retitle to ""Recent Changes""",
,web gui icons need tooltips!,
,POST /rest/error data format clarification request.,
,Docker image uses wrong path for default folder,
,Checkboxes in 3-column layout in GUI are unclickable in Chrome,
,Allow a node to join multiple clusters,
,HTTPS doesn't seem to work,
,Option to limit max simultaneous scans,
,panic: send on closed channel,
,Accepting a receive encrypted folder share should prompt the user to input a password,
,Panic during startup: fatal error: found bad pointer in Go heap,
,Linux amd64 build could potentially be fully static,
,Syncthing “ panic: Can’t unmarshal stored mtime at path” crashes syncthing,
,"""Folder path missing"" even if path has become accessible in the meantime",
,Entire folder contents disappearing,
,Latest Change is not updated for files created locally,
,Multiple 301s when opening GUI,
,renaming of source code sync conflict files breaks applications,
,"Edit> Shutdown shows an error message about ""syncthing appears to be down... problem with your Internet connection""",
,Syncthing publishes external IP with default port,
,install bug on raspberry pi B plus,
,Old indexes not properly removed,
,create installation packages,
,GUI Password field autofills with encrypted password,
,Runs out of file descriptors since QUIC addition,
,Issue running docker-test,
,Repo needs files but state is idle (again),
,v1.4.0 fails to start due to illegal instruction,
,default folder environment variable,
,Feature request: virtual folders,
,Add -v --version options,
,Puller Trying to chmod lost+found.  Why ?,
,Previously not ignored folders syncing continuosly after delete then ignore,
,Upgrade system shows an error on RCs in some cases,
,Build of syncthing failing on Linux,
,forking process to background,
,panic: runtime error: invalid memory address or nil pointer dereference,
,GTK-v.0.9.0.1 - RunDLL message,
,"using all ram, other programs and windows freeze until syncthing crash",
,smarter block splitting like rsync,
,"panic: interface conversion: interface {} is map[string]string, not map[string]interface {}",
,wired layout,
,TestPullInvalidIgnoredSR/SO is flaky,
,BEWARE! Syncthing 1.4.2 opens multiple connections to remote servers including a Jitsi videoconference,
,Shows authentication warning when listening on UNIX socket,
,Syncthing running on detached tmux won't restart after automatic update,
,Directory not synced after previously been ignored,
,XDG_CONFIG_HOME in Snap should point to $SNAP_USER_DATA,
,Improve logging for service failures,
,Skip index updates to minimize overhead in send only setups,
,Interface infelicity - which device is syncing?,
,Tests don't work on 32-bits architectures,
,Very slow tests due to encryption token generation,
,Requesting scan of ignored file scans parent,
,RPM's for Centos 6 and 7,
,Build script -no-upgrade handling is unintuitive,
,Progress emitter uses 100% CPU,
,Synching gets stuck at 99% - potentially due to ignore pattern and deleted files (?),
,Rework the Debian package building to be cleaner and follow the relevant guidelines,
,JS error when accepting new device,
,"Device name and other fields not shown in ""New Device"" message",
,Device list borked,
,"Ignored files are ignored forever, unless .stignore is 0-byte",
,https://forum.syncthing.net -> SEC_ERROR_OCSP_SERVER_ERROR,
,Add an option in CLI to stop syncthing when the synchronization is done,
,Out of sync files doesn't clear properly,
,Relax Syncthing interface timeout,
,Keep temporaries for future sync,
,Panic log,
,"""Out of Sync Items"" for all files containing questionmarks or double quotes",
,relay server eats ram,
,Software Architecture Document,
,website issue,
,Ignore deletes,
,Occasional deadlock on startup,
,Deadlock when connecting,
,.,
,"Support ""~"" for dir in ~/.syncthing/syncthing.ini",
,"[NOT AN ISSUE, accidental filing]",
,Docker containers for discovery and relay servers,
,Headless deployment a bit of a faff,
,port 8080 sucks,
,CheckFolderHealth wakes up disk at index exchange,
,functionality request post v1 - sharding,
,0.9.17 - i386 Segmentation fault,
,syncthing cli config options uraccepted set -1 fails,
,"Message header description is inconsistent with implementation, implementation is probably wrong",
,"Clicking ""Save"" in options says ""You have unsaved changes"" when changing automatic upgrade setting",
,2.1: Confusing global discovery setting,
,pathIsSubFolder,
,Implement /rest/status?folder=...&file=... call to answer with information about a given file,
,Staggered versioning creates folder path when it should just be stopped,
,No indication in GUI that Syncthing has been shut down,
,Increase time stamp granularity,
,"Folder: ""shared with"" shows own device",
,Failed item after quick moving,
,The (?d) prefix on an ignored directory should delete directory contents,
,Syncthing seems to be locking itself out of files,
,Should have user agent header in UPnP discoveries,
,Android Syncthing is disabled after setting run condition to only run on wifi ??,
,Usage reporting update,
,"Cannot view versions if the versions folder contains alien, forbidden folder",
,Avoid anti-aliasing artifacts for svg device icons,
,"GUI continually restarts with ""Syncthing seems to be down"" error if there are no new events",
,panic: nil pointer dereference in checkUpgrade(),
,syncthing 0.9.8 is now dynamically linked,
,"Panic, db not found, not making progress, etc.",
,Capitalization Issues,
,Auto merge text files instead of creating conflict file,
,"Syncthing creates duplicates of new files, after renaming them",
,Configure changes to keep the connected devices,
,"""Revert Local Changes"" button stays when the file causing it is deleted",
,v0.10.30 doesn't show upgrade button for v0.11.0,
,[RC] Copy-pasting device ID to input field throws JS error,
,Rescan All by signal from Linux console,
,Small UI enhancements,
,Empty file when deleting file on the other device,
,provide the OpenPGP trust anchor as a binary file,
,API keys should be cryptographically secure,
,nil pointer dereference,
,"""Shared with"" should be sorted by node name",
,UI,
,Adding a device/folder throws JS errors,
,strelaysrv: panic: send on closed channel,
,space before or after directory name = no sync to windows?,
,"""gzip: invalid header"" error when upgrading to v1.6.1",
,Error message when external versioning fails is ambiguous,
,Stopping folder.... - Folder path missing Notification,
,sync-conflicts while editing documents on one device,
,linux-systemd units: StartLimitIntervalSec declared in wrong section,
,Obfuscating published discovery information.,
,fatal error: invalid heap pointer,
,conflict resolution policy,
,"Syncthing 0.14.45 on three sides, Android folder red with ""Interrupted system call""...",
,'Add Device' button is overlapped by footer if 767px< width <1000px,
,"""Out of Sync Items"" list does not fit on screen",
,read timeout and the sync server becomes unresponsive,
,Don't show a warning when a file from a paused folder is requested,
,Does the % synced update during a sync file sync?,
,High Availability Nodes,
,Missing GUI-Buttons on 1024x768,
,Errors encountered during chmod operation causes runaway retry loop,
,Remote wipe,
,FSEvents on macOS,
,suggestion,
,"When Syncthing is already running, trying to start it gets it stuck in a loop",
,#NAME?,
,"Inotify triggers ""invalid subpath"" error",
,#NAME?,
,Syncthing Android Does Not Load,
,delete me,
,Panics due to database being closed,
,Option to wipe remote folder when un-sharing a folder,
,Limit the folder sync to the defaultFolderPath,
,List unsyncable files,
,"Resync of offline machine stuck in ""Out of Sync"" state after dirs+files were added and then removed elsewhere",
,Upgrade to 0.8.10 fails,
,Automatic overwrite changes,
,panic: slice bounds out of range in github.com/!audrius!butkevicius/pfilter,
,Don't start browser when restarting after upgrade,
,File names ending in space should be filtered out as invalid on Windows,
,Disabling the minimum disk free space check on folders doesn't work,
,Limit number of concurrent writes while syncing,
,panic: deadlock detected (maybe related to #773),
,Using blockstack and syncthing as zeronet - please validate,
,Contribute kcp-go changes/features and/or fix tests,
,Syncthing crashes when scanning large directory (1.5TB),
,#6249: Remove unnecessary RAM/CPU stats from GUI - Are you seriously?,
,Syncing does not start,
,syncthing synology package does not start after update,
,Adding multiple folders on the same path,
,Copy on Modification Feature,
,Time to add fanotify support?,
,Gui doesn't display repository info properly when path is too long,
,"""Watching for Changes"" dialog undismissable",
,"Restart of Syncthing with receive-encrypted folder creates sync-conflicts, adds as unexpected items",
,test failures with Go 1.15,
,The total items syncthing scaned different with widnows folder display?,
,Feature: Update md5 check,
,"Approximately daily crashes followed by ""permission denied"" mkdir tries",
,Attempting to fetch ignores for a new folder 500's,
,Bug in display width of global changes modal,
,UPnP Support (was: External discover doesn't work with NAT),
,update to 0.12.16 on cubietruck running wheezy,
,Use diff to compare versions of text files and display in Web UI,
,Build errors with v1.20.0,
,new version android app not work,
,dst source address reported incorrectly,
,Add REST method for addition new folder to the config,
,Enhancement Idea:  Secure HTTP Tunnelling through SyncThing,
,date selection GUI corrupted,
,Multiple Routers/APs: Failed to set UPnP port mapping: external port 0 on device,
,db test failing on v0.10.30 with go 1.3,
,"A file deleted from all nodes may exist in the ""out of sync"" list",
,Update credits for dependencies (I bet they've changed),
,"Ignoring files result in ""not synced""",
,Cannot specify both IPv4 and IPv6 at the same time?,
,Normalize JSONs,
,panic: deadlock detected at fmut,
,"""Syncing (NaN%, 0 B)"" when syncing 0-byte files",
,"lib/model: ""overwriting protected files"" warning doesn't properly take ignores into account",
,notify if a remote device has been unseen for x days (feature request),
,Fd leak when temp file cannot be truncated,
,No percentage on webseite,
,"FAIL: TestReset, file in use [Windows]",
,Synchronizing progress cannot reach 100%.,
,Folder Pairs,
,Syncthing panics when creating repo with non-existing file-path,
,[cosmetic] Translation,
,Puller inspecting strange directories,
,Syncthing icon license and source,
,RC release v1.4.0-rc.10.1 in APT stable channel,
,Folder ID not editable in add folder dialog,
,Syncthing freezing ubuntu,
,"sync user folder, pain in the ass :)",
,Call to /rest/system/error breaks when syncthing is reverse-proxied in a sub-folder,
,Getting old files after sleep,
,"""Ignore Permissions"" set but get errors...",
,Android 11: netlinkrib: permission denied,
,"After declining a folder share, is it not possible to accept a share for that same folder",
,WebGui: Locally Changed Items vanish when clicking 10|25|50,
,"Deleted only repo, syncthing fails to start",
,"Folder marked as ""Up to Date"" with failed items",
,fatal error: concurrent map read and map write,
,lib/model: Reply with an error message when block hash check fails,
,Add proxy option that won't be bypassed,
,Unable to ignore files in Appdata on windows mashine.,
,Keep old verison in debian/ubuntu repository,
,"[Feature Request] Sync references to files, but not the files themselves",
,Version restore not possible with custom versioning path set,
,syncthing-windows-amd64-v1.18.0.zip download failed,
,gui: In sync percentage can be incorrect for empty folders with deleted files,
,Encryption trailer not updated on shortcut,
,Put name of current node in heading,
,Muliti connection for improve speed.,
,Show last connection error per discovered address,
,global discovery v12beta4,
,[enhancement] [webui] Use something more efficient than base64 for binary blobs,
,Syncthing fails to sync a few remaining Gigabytes of Data,
,Race between replacements with the same path,
,Panic,
,Messages appearing in interface during Nessus scan,
,[FR][0.14.44] Master should always override changes on clients,
,Dockerhub Docker builds fail continously,
,syncthing -upgrade is teh bork,
,"Inconsistent tool-tip styling for ""Shared With"" field",
,Web GUI doesn't work in older browsers,
,FATAL: update before replace for cid 4,
,Folder rescan Interval reverts to 3600 on first open of folder configurartion,
,filename is invalid,
,Filename pattern #*.*# considered as symlink?,
,huge index folder,
,Footer is ugly in narrow windows with not a lot of folder/devices,
,syncthing fails to start due to data corruption,
,Add hooks to dump and restore some binary files,
,syncthing0.9.5 crashes on linux x86,
,Folder Sync % and other stats appear to overflow when file(s) deleted during sync,
,Panic due to internal folder context used on exported methods,
,"How to set manual trigger synchronization, non automatic synchronization.",
,Logo ideas,
,Inconsistent information displayed in Advanced Configuration GUI,
,Strings unavailable for translation,
,Unignored file not considered needed,
,Variable placeholders not filled: {%device%} wants to share folder ...,
,Improperly detaches from terminal,
,Deleted files within deleted directories aren't detected with FS watcher,
,Display a warning when the ignore delete option is enabled,
,v0.10.23 release for solaris missing,
,Database schema: failed to do migration 10: proto: wrong wireType = 0 for field Device,
,IANA: Service Name and Transport Protocol Port Number Registry,
,Problem with webGUI,
,"Lots of ""out of sync"" files with ""Mod. device"" unknown",
,reduce need to restart manually,
,Can't sync from Mac to Linux after upgrading to 0.13.x,
,Syncthing does not optimize local copies,
,Error message:  scan: Time.UnmarshalBinary: invalid length,
,Android Syncthing Dropdown Notification Removal,
,"Windows folder name case change, leads to Out of Sync with continous tmp files being recreated and not syncing",
,Missing include file endlessly spams log,
,Failing lookup relays for ipv6,
,Issues syncing files with names in unexpected charset encodings,
,"One file in folder not syncing, other files are",
,Conflict files generated when syncing between fast device and slow device,
,Unable to remove device,
,[Event Interface] Event for changed state of other Node,
,Syncthing crashes on Android with error code 126,
,Expose folders via WebDAV to allow syncing browser extensions and NextCloud apps,
,Change to fontawesome icon font,
,.stignore path in modal has wrong path separator on Windows,
,Connections aren't actually closed when closing a protocol connection,
,Log or audit gui login failures,
,"Mention license in ""About"" dialog",
,Syncthing has no easter eggs,
,"New folder type: ""on-demand""",
,Bug: the autoupgrade is not disabled by '-tags noupgrade',
,Not retrying to sync when a new connection is established,
,"Files that are updated on remote nodes, that were previously ignored, are not synced.",
,Syncthing listens on ipv6 only,
,Indicate folders / devices where the remote end has not accepted sharing.,
,Max out TLS security,
,Allow API clients to access password-protected GUI,
,YARFFBA (Yet Another Request For a Forms Based Authentication) ;),
,web interface: Latest Change line in Folders section isn't updated,
,Ignored files should not be hashed,
,Suture services should not survive panics,
,"Ensure encryption to untrusted on new, trusted device on an existing folder",
,Folder list not sorted alphabetically in v0.11.0-rc0,
,HTTPS on syncthing.net,
,unable to shutdown under linux-arm (WD-MyPassport Drive),
,Folder label instead of unique folder ID,
,GUI theme stuck on dark,
,Sync percentage is based upon the # of files synced so far? Should be based upon the size synced so far.,
,Master Repo has out of sync items,
,"Adding a directory in ""Add folder"" force closes the app in Android",
,Auto Accept feature causes panic?,
,GUI Regression: cannot update device address,
,Folders exceeds size limit,
,"""TypeError: $scope.saveConfig.then is not a function"" when trying to unignore folders/devices",
,"Main application screen, The folders list sometimes displays negative percentage.",
,Panic logs should be written to a file by default,
,Delay Sync on modified file,
,Deleted files show up as failed scans,
,cmd/stdiscosrv: Discovery server returns Seen field value in local time zone,
,Large File Not Transferring,
,"Sync percentage on remote node freezes, needs reload the page",
,.stignore include non-existen file,
,"given name ""~syncthing~xxx.tmp"" differs from name in filesystem ""~syncthing~XXX.tmp""",
,encrypted sharing doesn't work 1.16,
,"Avast identified syncthing.exe (Windows x64 build, 0.14.25) as infected with IDP.ALEXA.51.",
,Option to limit sync to local addresses,
,syncthing-inotify + syncthing leading to dropped updates with common prefixes,
,Use copy instead of rename for version folder on other file systems,
,"Unresolvable ""leveldb/table: corruption on data-block""",
,lib/symlinks: Problem with symlinks if syncthing for windows is running,
,"Panic message ""fatal error: unexpected signal during runtime execution"" after update to v1.1",
,Flag --config was renamed to --conf in 1.15.0,
,Syncthing may currently be slowing down Firefox,
,Staggered versioner tries to delete non-empty directory and fails to do so,
,can't access web gui since version 0.14.37 (windows),
,problems with autoupdate and company firewalls,
,Syncthing uses autodiscovered address when a static address is assigned,
,High resource usage every time a folder is shared with a new device,
,FATAL: Bad listen address: too many colons in address tcp://0.0.0.0:22000,
,Syncthing deb repository - apt hash sum mismatch,
,Interrupting running sync with CTRL+C,
,Integration tests struggling,
,Pay closer attention to the fact that files have disappeared.,
,Visual eye sore on Advanced Configuration page.,
,panic with v.0.12.0-beta3,
,Incorrect handling of conflicts on locally deleted files,
,Windows: 1) running Syncthing opens not only a browser tab but also a terminal; 2) 'editing' the sync folder settings produces an uneditable field,
,"FATAL: Invalid version string ""886b02d"" and some regex error",
,Just a typo,
,Thousand separator for numbers in GUI,
,"Add a ""--generate-keys"" option to make puppet/chef deployment easier",
,Syncthing GUI can inundate Syncthing with pending requests,
,Cannot select external SD card path for new repository,
,Dualboot system will try to connect to itself,
,Configuration location on XP,
,"Make syncthing ""find your device"" friendly",
,'Out of sync' items unintelligible: it displays what seems to be a key and also text that does not conform to the key,
,autoupdate from another node,
,lib/model: TestNoRequestsFromPausedDevices is failing,
,Fatal crash with 11.4,
,Retrieving empty folders,
,Provide Information About Location of Symlinks,
,"""Out of Sync Items"" with Mod. Device that is not currently a remote of any peer, for files matching an ignore pattern.",
,strelaysrv: Static client does not reconnect on failure,
,Syncthing on samba and hidden DOS bit issue - still an issue in 1.20.1 version.,
,https://relays.syncthing.net/endpoint contains non-valid URLs with spaces,
,GUI fails to render in chromium due to ERR_CONTENT_DECODING_FAILED error.,
,high RAM usage with high lan network speed,
,"Allow syncing read-only directories as ""Master Folders""",
,"Feature: Reset Database, Reset Deltas next restart in GUI",
,Node ID longer than 52 chars,
,Not connecting after upgrading Xubuntu version,
,Request: show pending devices/folders in CLI,
,Building without internet access.,
,Please clarify if and how syncthing should follow symlinks,
,"Syncthing on windows does not differentiate between letter cases, but on linux does",
,dst-related deadlock,
,"INFO: Saving index for ""repo"": rename x.tmp x: no such file or directory",
,Locked files stall Puller on MacOS,
,Windows client ignore .stignore file,
,New type of repository for backup,
,Global Announce Server Bug / Design Flaw,
,Syncthing 12.8 on freenas Chmod issues,
,ARMEL (5) binary segfault / build direct works / build cros-comp error use GOARM=5 etc.,
,Scan due to watcher can not found local change while modify file to empty,
,Add on-disk encryption,
,Define a virtualhost for syncthing in nginx,
,Panic in FS watcher in FreeBSD 8.3,
,"*.sync-conflict-*.* files growing in numbers, uncontrollably",
,Syncthing on Android - Case sensitivity issues,
,"Set ""Minimum Free Disk Space"" in MB/GB",
,WARNING: discover udp6://announce-v6.syncthing.net:22026: broadcast: GetAddrInfoW: No such host is known.; trying again in 1m0s,
,gui: Percentage can still get infinitely large in some situations with deletes,
,Clarify the GUI/API listen address as opposed to the suggested URL at startup,
,Web gui - certificate serial number conflict,
,Fails to create folder root directory on Windows,
,FATAL: update before replace for cid 3,
,"{%device%} wants to share folder ""{%folderlabel%}""",
,Panic detected,
,Indicate how long until the sync is finished,
,Windows XP / Server 2003 / Home Server not working with 1.1,
,"Option for ""do not decrypt data locally""",
,"Extension only (""nameless"") files won't sync -- pull: no available source device",
,File names with tilde sign confuse the versioner,
,The function of sharing,
,Display introducedBy device in GUI,
,lib/model:TestIgnores mysteriously fails on s390x architecture (0.14.37),
,KCP gets confused when restarting a device,
,WebUI table column widths broken on narrow displays,
,web UI resfresh loop,
,"syncthing changes permissions for sync folder, thereby breaking sync",
,"Darwin build failure on Go tip (as of July 19, 2018)",
,"Local discovery should use ipv6 multicast, not last address of subnet",
,Allow for limiting number of simultaneous scans running,
,Do not create .stignore if there are no ignore patterns,
,Configurable GUI refresh rate,
,broken ui for some ids -- or ui accepts invalid repository id,
,Information in WebGUI not displayed properly (Repository Name Limitation),
,Block sync,
,[copyRangeMethod] invalid cross-device link,
,Sync progress can show negative percentages,
,feature request: Silent or Mass upgrade syncthing client?,
,Custom Windows icon missing in latest release,
,"Syncthing causing Asus router logs ""miniupnpd: HTTP Connection closed unexpectedly""",
,QUIC: failed to determine receive buffer size: doesn't have a SyscallConn,
,"Add ""select all"" / ""deselect all"" to folder and device sharing dialogs",
,Android app only let me share from downloads folder,
,"Expose all defaults, and allow them to be configurable",
,Sync messed up,
,Custom webgui location,
,Failure checking encryption consistency,
,"Fix the ""out of sync items"" modal",
,can't subscribe to your forum,
,Panic with v0.11.0-beta0+31-gc67e2c2 on linux i386,
,divide by zero,
,Dead link in README.md,
,api: /rest/system/browse on Linux+Mac should return / for empty string,
,Get stuck replacing a dir with a file,
,issue with Syncthing 12.8 Saying insufficient free space,
,"UI bug in ""show items""",
,"""Last Seen"" value for nodes",
,Should understand “socks” in addition to “socks5” in proxy URLs,
,QUIC listener is not added when default TCP port is unavailable,
,Loading bar or sth. similar,
,systemd not starting.  errors out (Debian 9),
,Does syncthing prefer weak hashes even when they're slower?,
,German vowels in .stignore not possible (ü ä ö),
,Allow Filter to exclude files older than date,
,[Untrusted] Remove Unexpected Items leaves things behind,
,Incorrect large block size chosen for large files on 32 bit archs,
,api key not required for some info,
,fsWatcher and periodic scanning ignore new camera photos and new screenshots on android.,
,"If you delete the file without completing the sync, the .tm file will be left behind.",
,Wrong loglevels,
,Connection Error occurs on Web GUI after about 1 minute,
,Use secondary ID for usage reports,
,"""Override changes"" button on the ""Receive Only"" side",
,Config option to disable automatic update checks,
,Data race in handleIntroductions,
,"Master folder on Linux shared to Macos spurious ""out of sync""",
,panic: key not found when repairing DB,
,"Encrypted folder(s) on Windows reported as ""Unexpected Objects""",
,"Out of sync, but only one folder 0.10.0",
,Auto correct interferes with entering node id,
,REST API event filtering not working,
,[v0.9.15] Syncthing hangs at startup when changing WebUI port or activating TLS on ARMv7/Linux,
,Versioning help strings are not displayed in the GUI,
,0.14.33 noupgrade option attempts to escape Homebrew sandbox,
,"""Override changes"" not working",
,Password.kdbx file cannot be synced,
,Enhancement: Network Load Balancing,
,Reduce database size by FileInfo indirection,
,Deletion does not work.,
,Event ids not continuous,
,Warn when GUI is bound to non-localhost without username and password,
,"Folder status is up to date, even when Syncthing does not know",
,/rest/db/browse does does not respect prefix,
,junctionsAsDirs requires folder pause and resume to trigger,
,Simplify tests using T.TempDir,
,Allow local announcements via REST,
,Last seen 1969-12-31 19:00 when adding a new node,
,"French translation for ""Scan Time Remaining"" in GUI",
,"The initial ""Scanning (%)"" gets reset to 0% at every -unrelated- folder action",
,syncthing could be more intelligent about when to try reconnects,
,request for android version - 14.46rc1,
,"Clicking ""restart"" causes ""Syncthing seems to be down"" error",
,Syncthing completely resets on reboot,
,Versioner tests are too slow,
,Many panics while syncing my mp3 archive.,
,"Directories not ignored despite .stignore pattern ""*""",
,panic: runtime error: index out of range,
,Perdita di file e cartelle,
,Hide the bottom bar,
,Cache the disk state (avoid rescanning after every syncthing startup),
,"Master sure it's not finished, peer sure it is",
,TestHostCheck fails,
,Cannot add new devices,
,The synching state is wrong,
,optionally move index.db folder,
,lib/sync: Race in non-standard mutexes,
,Accepting remote scan requests should be more clever,
,"Spurious need to ""revert"" nonexistent changes with Receive Only folder on Android",
,Conflicting file replaced losing data,
,Docker healthcheck fails when run in host network,
,All devices shown as not having accepted shared folders,
,Old wording in Add Device -> Device ID,
,Relay server doesn’t make outgoing HTTPS requests from its bind address,
,"Syncthing should stop assuming it is the only instance in a Syncthing ""cluster""",
,Config.xml to keep same inode,
,Suggest to add directory and file browsing,
,Incorrect INFO message about weak hash in v0.12.25,
,recursive duplication of a folder structure,
,Usability: confirmation before deleting everything,
,Device field in advanced Folder options is not correctly filled,
,UI non-friendly,
,Support variable sized blocks,
,Pausing on introducer removes device on other devices,
,panic: Should never get a deleted file as needed when we don't have it,
,syncthing refuses to sync,
,Syncthing quits after or while update?,
,lib/symlinks: Symlink issues strike again!  x86-64 windows -> arm linux sync no go?,
,show Datamatrix codes (as QR ones) in WebUI,
,Device Name not automatically updated,
,Feature Request: Ignore root directory except some folders,
,build.go setup problems with gomodules,
,Flat doesn't sync?,
,Dynamic log supression,
,Improve QUIC performance,
,Move index db to $XDG_DATA_HOME/syncthing/,
,TestWatchIgnore is flaky (OpenBSD (-current) Test failed),
,"[Enhancement Request] Collect Destination IP-Address and insert it to ""/rest/system/connections""",
,Warning:%!(EXTRA *errors.errorString=EOF),
,Local network discovery should follow listenAddress,
,Feature request: prioritize download or upload,
,RFE: link to syncthing hp from the web gui,
,Is it possible to get Syncthing working on Heroku?,
,LDAP auth doesn't handle LDAPS with certificate validation,
,Feature Request: Receive only directories with send/receive files,
,Free space requirement should be set to something other than 1% by default,
,First call to /rest/system/status API is slow when syncthing starts,
,Syncthing should stop assuming it is the only software running on a machine,
,"Devices disconnected, Procol version error",
,"""Edit Device"" and ""Edit Folder"" were removed from the translation files.",
,Issue With -upgrade Flag,
,Option on Repository Master to allways override changes.,
,Option to set duration of temporary files cleanup,
,Duplicate relays and addresses with the new discovery,
,Syncing stuck at 100%,
,"Theme change results in ""Decoding posted config: unexpected EOF""",
,"""Nearby devices"" links should look more like links (mouse pointer)",
,No Warning That Cookies Permission Are Required,
,Error renewing UPnP port mapping for external port 31828 on device,
,[Feature request] ACME (letsencrypt) Support,
,"Clean up ""master"" terminology",
,flatpack package,
,Make advanced settings available in GUI,
,"web interface says ""up to date"" but details shows out of sync",
,Can't find meta.js Resource,
,Notice - local error: record overflow,
,Tracking moved/renamed/deleted files/folders,
,Uses too much RAM when syncing large files (1.3.0+),
,[Feature] Syncthing over I2p,
,would syncthing work on blackberry 10 (QNX)?,
,Build information missing in discovery and relay server binaries,
